group	hits	neighbors	enrichment_p	in_module
kegg_focal_adhesion	12	26	1.4e-09	no
kegg_b_cell_receptor_signaling_pathway	12	30	1.17e-08	no
kegg_erbb_signaling_pathway	12	31	1.87e-08	no
kegg_t_cell_receptor_signaling_pathway	11	27	7.32e-08	no
kegg_mtor_signaling_pathway	10	21	7.38e-08	no
kegg_apoptosis	9	17	1.57e-07	no
kegg_neurotrophin_signaling_pathway	11	31	4.33e-07	no
kegg_insulin_signaling_pathway	10	25	6.12e-07	no
kegg_aldosterone_regulated_sodium_reabsorption	9	20	9.83e-07	no
kegg_progesterone_mediated_oocyte_maturation	10	28	2.26e-06	no
kegg_regulation_of_actin_cytoskeleton	7	13	6.36e-06	no
kegg_vegf_signaling_pathway	11	39	7.07e-06	no
kegg_fc_epsilon_ri_signaling_pathway	10	35	2.57e-05	no
kegg_fc_gamma_r_mediated_phagocytosis	8	21	2.67e-05	no
kegg_toll_like_receptor_signaling_pathway	9	29	4.34e-05	no
