pathway	is_cancer	score
kegg_allograft_rejection	0	0.0000
kegg_basal_cell_carcinoma	1	1.3344
kegg_pathways_in_cancer	1	13.6301
kegg_apoptosis	0	6.8048
kegg_progesterone_mediated_oocyte_maturation	0	5.6467
kegg_hedgehog_signaling_pathway	0	1.4782
kegg_arachidonic_acid_metabolism	0	0.0000
kegg_cytokine_cytokine_receptor_interaction	0	0.0000
kegg_other_glycan_degradation	0	0.0000
kegg_ppar_signaling_pathway	0	0.0000
kegg_valine_leucine_and_isoleucine_degradation	0	0.0000
kegg_fructose_and_mannose_metabolism	0	0.0000
kegg_drug_metabolism_other_enzymes	0	0.0000
kegg_axon_guidance	0	0.0000
kegg_bladder_cancer	1	13.5992
kegg_acute_myeloid_leukemia	1	10.1066
kegg_metabolism_of_xenobiotics_by_cytochrome_p450	0	0.0000
kegg_galactose_metabolism	0	0.0000
kegg_lysine_degradation	0	0.0000
kegg_proximal_tubule_bicarbonate_reclamation	0	0.0000
kegg_rna_polymerase	0	0.0000
kegg_glycerophospholipid_metabolism	0	0.0000
kegg_glycosaminoglycan_biosynthesis_keratan_sulfate	0	0.0000
kegg_complement_and_coagulation_cascades	0	0.0000
kegg_arrhythmogenic_right_ventricular_cardiomyopathy_arvc	0	0.0000
kegg_citrate_cycle_tca_cycle	0	0.0000
kegg_mismatch_repair	0	0.0000
kegg_one_carbon_pool_by_folate	0	0.0000
kegg_histidine_metabolism	0	0.0000
kegg_taurine_and_hypotaurine_metabolism	0	0.0000
kegg_glycerolipid_metabolism	0	0.0000
kegg_ether_lipid_metabolism	0	0.0000
kegg_glycosphingolipid_biosynthesis_globo_series	0	0.0000
kegg_purine_metabolism	0	0.0000
kegg_riboflavin_metabolism	0	0.0000
kegg_gnrh_signaling_pathway	0	0.0724
kegg_leishmania_infection	0	0.0000
kegg_type_i_diabetes_mellitus	0	0.0000
kegg_tyrosine_metabolism	0	0.0000
kegg_porphyrin_and_chlorophyll_metabolism	0	0.0000
kegg_vascular_smooth_muscle_contraction	0	0.0000
kegg_epithelial_cell_signaling_in_helicobacter_pylori_infection	0	0.0000
kegg_phosphatidylinositol_signaling_system	0	1.1219
kegg_focal_adhesion	0	8.8546
kegg_b_cell_receptor_signaling_pathway	0	7.9329
kegg_neurotrophin_signaling_pathway	0	6.3633
kegg_lysosome	0	0.0000
kegg_autoimmune_thyroid_disease	0	0.0000
kegg_colorectal_cancer	1	8.5878
kegg_pentose_and_glucuronate_interconversions	0	0.0000
kegg_gap_junction	0	1.8899
kegg_propanoate_metabolism	0	0.0000
kegg_small_cell_lung_cancer	1	9.5963
kegg_amyotrophic_lateral_sclerosis_als	0	0.0000
kegg_melanoma	1	11.1085
kegg_endometrial_cancer	1	11.4713
kegg_drug_metabolism_cytochrome_p450	0	0.0000
kegg_p53_signaling_pathway	0	0.0000
kegg_vibrio_cholerae_infection	0	0.0000
kegg_butanoate_metabolism	0	0.0000
kegg_ecm_receptor_interaction	0	0.4605
kegg_glycolysis_gluconeogenesis	0	0.0000
kegg_cardiac_muscle_contraction	0	0.0000
kegg_wnt_signaling_pathway	0	1.9090
kegg_chemokine_signaling_pathway	0	4.0655
kegg_phenylalanine_metabolism	0	0.0000
kegg_hematopoietic_cell_lineage	0	0.0000
kegg_arginine_and_proline_metabolism	0	0.0000
kegg_leukocyte_transendothelial_migration	0	0.0000
kegg_glioma	1	9.2623
kegg_selenoamino_acid_metabolism	0	0.0000
kegg_oocyte_meiosis	0	0.0000
kegg_nitrogen_metabolism	0	0.0000
kegg_base_excision_repair	0	0.0000
kegg_vasopressin_regulated_water_reabsorption	0	0.0000
kegg_calcium_signaling_pathway	0	0.0000
kegg_mapk_signaling_pathway	0	2.1059
kegg_graft_versus_host_disease	0	0.0000
kegg_steroid_hormone_biosynthesis	0	0.0000
kegg_pyrimidine_metabolism	0	0.0000
kegg_alzheimers_disease	0	0.0000
kegg_parkinsons_disease	0	0.0000
kegg_glycosphingolipid_biosynthesis_ganglio_series	0	0.0000
kegg_tryptophan_metabolism	0	0.0000
kegg_glycosaminoglycan_degradation	0	0.0000
kegg_glycosaminoglycan_biosynthesis_heparan_sulfate	0	0.0000
kegg_cysteine_and_methionine_metabolism	0	0.0000
kegg_fc_gamma_r_mediated_phagocytosis	0	4.5739
kegg_glutathione_metabolism	0	0.0000
kegg_adherens_junction	0	1.7583
kegg_prion_diseases	0	0.0000
kegg_renal_cell_carcinoma	1	7.2621
kegg_oxidative_phosphorylation	0	0.0000
kegg_retinol_metabolism	0	0.0000
kegg_cytosolic_dna_sensing_pathway	0	0.0000
kegg_antigen_processing_and_presentation	0	0.0000
kegg_alanine_aspartate_and_glutamate_metabolism	0	0.0000
kegg_cell_cycle	0	0.5411
kegg_huntingtons_disease	0	0.0000
kegg_systemic_lupus_erythematosus	0	0.0000
kegg_intestinal_immune_network_for_iga_production	0	0.0000
kegg_limonene_and_pinene_degradation	0	0.0000
kegg_long_term_potentiation	0	0.5954
kegg_linoleic_acid_metabolism	0	0.0000
kegg_melanogenesis	0	2.2260
kegg_pentose_phosphate_pathway	0	0.0000
kegg_thyroid_cancer	1	11.9957
kegg_aminoacyl_trna_biosynthesis	0	0.0000
kegg_fatty_acid_metabolism	0	0.0000
kegg_cell_adhesion_molecules_cams	0	0.0000
kegg_adipocytokine_signaling_pathway	0	0.0000
kegg_beta_alanine_metabolism	0	0.0000
kegg_jak_stat_signaling_pathway	0	1.1219
kegg_mtor_signaling_pathway	0	7.1317
kegg_t_cell_receptor_signaling_pathway	0	7.1354
kegg_glycosaminoglycan_biosynthesis_chondroitin_sulfate	0	0.0000
kegg_viral_myocarditis	0	0.0000
kegg_hypertrophic_cardiomyopathy_hcm	0	0.0000
kegg_homologous_recombination	0	0.0000
kegg_fc_epsilon_ri_signaling_pathway	0	4.5898
kegg_erbb_signaling_pathway	0	7.7279
kegg_non_small_cell_lung_cancer	1	9.2623
kegg_prostate_cancer	1	10.1066
kegg_nucleotide_excision_repair	0	0.0000
kegg_nod_like_receptor_signaling_pathway	0	0.0000
kegg_long_term_depression	0	0.4611
kegg_chronic_myeloid_leukemia	1	10.1066
kegg_tight_junction	0	0.0000
kegg_amino_sugar_and_nucleotide_sugar_metabolism	0	0.0000
kegg_ascorbate_and_aldarate_metabolism	0	0.0000
kegg_vegf_signaling_pathway	0	5.1505
kegg_inositol_phosphate_metabolism	0	0.0000
kegg_pathogenic_escherichia_coli_infection	0	0.0000
kegg_dilated_cardiomyopathy	0	0.0000
kegg_glycosphingolipid_biosynthesis_lacto_and_neolacto_series	0	0.0000
kegg_pyruvate_metabolism	0	0.0000
kegg_sphingolipid_metabolism	0	0.0000
kegg_dna_replication	0	0.0000
kegg_insulin_signaling_pathway	0	6.2133
kegg_asthma	0	0.0000
kegg_starch_and_sucrose_metabolism	0	0.0000
