pathway	database	hits	enrichment_p
wp_bladder_cancer	wp	13	1.72e-19
wp_breast_cancer_pathway	wp	14	6.13e-19
wp_head_and_neck_squamous_cell_carcinoma	wp	12	7.49e-19
wp_mirna_regulation_of_prostate_cancer_signaling_pathways	wp	11	2.89e-18
wp_melanoma	wp	14	4.17e-17
wp_nonsmall_cell_lung_cancer	wp	14	9.16e-17
wp_pancreatic_adenocarcinoma_pathway	wp	13	3.05e-16
wp_epithelial_to_mesenchymal_transition_in_colorectal_cancer	wp	10	4.63e-15
wp_chromosomal_and_microsatellite_instability_in_colorectal_cancer	wp	10	4.34e-14
wp_endometrial_cancer	wp	13	6.25e-14
wp_small_cell_lung_cancer	wp	10	2.35e-13
wp_mapk_pathway_in_congenital_thyroid_cancer	wp	10	4.22e-11
reactome_aberrant_regulation_of_mitotic_g1_s_transition_in_cancer_due_to_rb1_defects	reactome	8	4.71e-11
wp_met_in_type_1_papillary_renal_cell_carcinoma	wp	12	6.17e-11
wp_nrp1triggered_signaling_pathways_in_pancreatic_cancer	wp	6	1.25e-08
reactome_pi3k_akt_signaling_in_cancer	reactome	8	3.11e-08
wp_cancer_immunotherapy_by_ctla4_blockade	wp	6	4.25e-07
wp_hepatitis_c_and_hepatocellular_carcinoma	wp	4	5.92e-06
wp_neural_crest_cell_migration_in_cancer	wp	4	1.94e-05
reactome_constitutive_signaling_by_ligand_responsive_egfr_cancer_variants	reactome	7	6.53e-05
reactome_signaling_by_egfr_in_cancer	reactome	6	0.000303
wp_type_2_papillary_renal_cell_carcinoma	wp	2	0.000777
reactome_signaling_by_tgf_beta_receptor_complex_in_cancer	reactome	3	0.00109
reactome_loss_of_function_of_smad2_3_in_cancer	reactome	3	0.00132
reactome_signaling_by_erbb2_in_cancer	reactome	4	0.00479
wp_wntbetacatenin_signaling_pathway_in_leukemia	wp	2	0.0072
wp_integrated_cancer_pathway	wp	2	0.0113
reactome_constitutive_signaling_by_aberrant_pi3k_in_cancer	reactome	3	0.0161
reactome_constitutive_signaling_by_akt1_e17k_in_cancer	reactome	2	0.0185
wp_lncrna_in_canonical_wnt_signaling_and_colorectal_cancer	wp	2	0.0193
wp_ncrnas_involved_in_wnt_signaling_in_hepatocellular_carcinoma	wp	2	0.0193
wp_tca_cycle_nutrient_use_and_invasiveness_of_ovarian_cancer	wp	2	0.104
reactome_signaling_by_wnt_in_cancer	reactome	1	0.17
reactome_aberrant_regulation_of_mitotic_exit_in_cancer_due_to_rb1_defects	reactome	0	1
reactome_fbxw7_mutants_and_notch1_in_cancer	reactome	0	1
reactome_nuclear_events_stimulated_by_alk_signaling_in_cancer	reactome	0	1
reactome_signaling_by_alk_in_cancer	reactome	0	1
reactome_signaling_by_notch1_hd_domain_mutants_in_cancer	reactome	0	1
reactome_signaling_by_notch1_pest_domain_mutants_in_cancer	reactome	0	1
wp_amino_acid_metabolism_in_triplenegative_breast_cancer_cells	wp	0	1
wp_cancer_immunotherapy_by_pd1_blockade	wp	0	1
wp_cell_interactions_of_the_pancreatic_cancer_microenvironment	wp	0	1
wp_clear_cell_renal_cell_carcinoma_pathways	wp	0	1
wp_folatealcohol_and_cancer_pathway_hypotheses	wp	0	1
wp_glucose_metabolism_in_triplenegative_breast_cancer_cells	wp	0	1
wp_hereditary_leiomyomatosis_and_renal_cell_carcinoma_pathway	wp	0	1
wp_imatinib_and_chronic_myeloid_leukemia	wp	0	1
wp_immune_infiltration_in_pancreatic_cancer	wp	0	1
wp_metabolic_reprogramming_in_colon_cancer	wp	0	1
wp_metabolic_reprogramming_in_pancreatic_cancer	wp	0	1
wp_mfap5mediated_ovarian_cancer_cell_motility_and_invasiveness	wp	0	1
wp_microrna_for_targeting_cancer_growth_and_vascularization_in_glioblastoma	wp	0	1
wp_microrna_network_associated_with_chronic_lymphocytic_leukemia	wp	0	1
wp_mirna_regulation_of_p53_pathway_in_prostate_cancer	wp	0	1
wp_ncrnas_involved_in_stat3_signaling_in_hepatocellular_carcinoma	wp	0	1
wp_retinoblastoma_gene_in_cancer	wp	0	1
wp_t_cell_modulation_in_pancreatic_cancer	wp	0	1
wp_ultraconserved_region_339_modulation_of_tumor_suppressor_micrornas_in_cancer	wp	0	1
