pathway	database	enrichment_p
wp_dna_damage_response_only_atm_dependent	wp	8.1e-18
wp_glioblastoma_signaling_pathways	wp	1.55e-16
wp_relationship_between_inflammation_cox2_and_egfr	wp	1.11e-14
wp_kisspeptinkisspeptin_receptor_system_in_the_ovary	wp	1.9e-14
biocarta_raccycd_pathway	biocarta	2.11e-14
wp_pi3kakt_signaling_pathway	wp	5.61e-14
wp_extracellular_vesiclemediated_signaling_in_recipient_cells	wp	5.95e-14
wp_micrornas_in_cardiomyocyte_hypertrophy	wp	1.05e-13
wp_focal_adhesion	wp	1.16e-13
wp_egfr_tyrosine_kinase_inhibitor_resistance	wp	4.3e-13
wp_erbb_signaling_pathway	wp	7.97e-13
wp_synaptic_signaling_pathways_associated_with_autism_spectrum_disorder	wp	1.11e-12
reactome_negative_feedback_regulation_of_mapk_pathway	reactome	1.6e-12
wp_ras_signaling	wp	2.1e-12
wp_nanoparticlemediated_activation_of_receptor_signaling	wp	2.73e-12
wp_inhibition_of_exosome_biogenesis_and_secretion_by_manumycin_a_in_crpc_cells	wp	9.05e-12
wp_focal_adhesion_pi3kaktmtorsignaling_pathway	wp	1.64e-11
biocarta_ras_pathway	biocarta	1.69e-11
reactome_erythropoietin_activates_phosphoinositide_3_kinase_pi3k	reactome	2.87e-11
wp_translation_inhibitors_in_chronically_activated_pdgfra_cells	wp	4.55e-11
wp_gastrin_signaling_pathway	wp	6.23e-11
pid_tcr_ras_pathway	pid	8.66e-11
wp_regulation_of_actin_cytoskeleton	wp	9.61e-11
sa_pten_pathway	other	2.09e-10
wp_pi3kaktmtor_signaling_pathway_and_therapeutic_opportunities	wp	2.35e-10
