pathway	is_cancer	score
pid_p53_regulation_pathway	0	0.0000
reactome_cd28_co_stimulation	0	2.9218
reactome_nitric_oxide_stimulates_guanylate_cyclase	0	0.0000
reactome_caspase_mediated_cleavage_of_cytoskeletal_proteins	0	0.0000
reactome_downstream_signaling_events_of_b_cell_receptor_bcr	0	0.0000
reactome_hedgehog_ligand_biogenesis	0	0.0000
reactome_interleukin_20_family_signaling	0	0.0000
reactome_signaling_by_robo_receptors	0	0.0000
wp_gaba_receptor_signaling	0	0.0000
reactome_unblocking_of_nmda_receptors_glutamate_binding_and_activation	0	0.0000
wp_oxidation_by_cytochrome_p450	0	0.0000
wp_proteasome_degradation	0	0.0000
biocarta_cdc25_pathway	0	0.0000
reactome_metabolism_of_porphyrins	0	0.0000
wp_relationship_between_inflammation_cox2_and_egfr	0	13.9558
wp_selenium_micronutrient_network	0	0.0000
biocarta_fas_pathway	0	0.0000
reactome_defective_f9_activation	0	0.0000
reactome_inhibition_of_replication_initiation_of_damaged_dna_by_rb1_e2f1	0	0.0000
reactome_sulfide_oxidation_to_sulfate	0	0.0000
reactome_retrograde_transport_at_the_trans_golgi_network	0	0.0000
wp_matrix_metalloproteinases	0	0.0000
reactome_assembly_and_cell_surface_presentation_of_nmda_receptors	0	0.0000
reactome_pi_3k_cascade_fgfr4	0	0.5303
reactome_defects_of_contact_activation_system_cas_and_kallikrein_kinin_system_kks	0	0.0000
reactome_the_role_of_gtse1_in_g2_m_progression_after_g2_checkpoint	0	0.0000
wp_il5_signaling_pathway	0	7.0201
reactome_role_of_abl_in_robo_slit_signaling	0	0.0000
wp_methionine_metabolism_leading_to_sulfur_amino_acids_and_related_disorders	0	0.0000
wp_pregnane_x_receptor_pathway	0	0.0000
reactome_sodium_coupled_phosphate_cotransporters	0	0.0000
reactome_cell_cell_junction_organization	0	0.0000
wp_caloric_restriction_and_aging	0	0.0000
reactome_defensins	0	0.0000
pid_insulin_pathway	0	0.0000
reactome_regulation_of_pten_stability_and_activity	0	0.0000
reactome_mitotic_g1_phase_and_g1_s_transition	0	0.0000
reactome_dap12_signaling	0	4.0617
reactome_translesion_synthesis_by_polk	0	0.0000
reactome_cilium_assembly	0	0.0000
reactome_creb1_phosphorylation_through_the_activation_of_adenylate_cyclase	0	0.0000
reactome_negative_regulation_of_mapk_pathway	0	4.4705
wp_hedgehog_signaling_pathway_wp4249	0	0.0000
wp_nicotine_effect_on_chromaffin_cells	0	0.0000
reactome_defective_ext2_causes_exostoses_2	0	0.0000
reactome_glycerophospholipid_catabolism	0	0.0000
reactome_signaling_by_fgfr_in_disease	0	0.9779
reactome_telomere_maintenance	0	0.0000
wp_tnfrelated_weak_inducer_of_apoptosis_tweak_signaling_pathway	0	2.5833
reactome_melanin_biosynthesis	0	0.0000
wp_biosynthesis_and_regeneration_of_tetrahydrobiopterin_and_catabolism_of_phenylalanine	0	0.0000
reactome_toxicity_of_botulinum_toxin_type_d_botd	0	0.0000
reactome_gastrulation	0	0.0000
wp_retinol_metabolism	0	0.0000
reactome_erythrocytes_take_up_carbon_dioxide_and_release_oxygen	0	0.0000
reactome_estrogen_stimulated_signaling_through_prkcz	0	6.1563
reactome_e2f_mediated_regulation_of_dna_replication	0	0.0000
wp_genes_related_to_primary_cilium_development_based_on_crispr	0	0.0000
wp_vitamin_d_in_inflammatory_diseases	0	0.0000
wp_sphingolipid_metabolism_integrated_pathway	0	0.0000
reactome_sars_cov_1_activates_modulates_innate_immune_responses	0	0.0000
reactome_ksrp_khsrp_binds_and_destabilizes_mrna	0	0.0000
reactome_amino_acids_regulate_mtorc1	0	0.0000
biocarta_proteasome_pathway	0	0.0000
reactome_gap_junction_assembly	0	0.0000
reactome_transcriptional_regulation_by_small_rnas	0	0.0000
reactome_uptake_of_dietary_cobalamins_into_enterocytes	0	0.0000
biocarta_erk_pathway	0	8.0609
wp_lipid_metabolism_pathway	0	0.0000
pid_aurora_b_pathway	0	0.0000
reactome_neurotransmitter_receptors_and_postsynaptic_signal_transmission	0	0.0000
reactome_gamma_carboxylation_transport_and_amino_terminal_cleavage_of_proteins	0	0.0000
reactome_met_activates_ptpn11	0	0.6191
wp_kynurenine_pathway_and_links_to_cell_senescence	0	0.0000
reactome_sodium_proton_exchangers	0	0.0000
reactome_miscellaneous_substrates	0	0.0000
pid_il2_stat5_pathway	0	0.4491
biocarta_hsp27_pathway	0	0.0000
reactome_synthesis_secretion_and_deacylation_of_ghrelin	0	0.0000
reactome_defective_b4galt1_causes_b4galt1_cdg_cdg_2d	0	0.0000
wp_metabolic_reprogramming_in_pancreatic_cancer	1	0.0000
wp_purinergic_signaling	0	0.0000
reactome_metabolism_of_lipids	0	0.0000
biocarta_rna_pathway	0	0.0000
reactome_signaling_by_wnt_in_cancer	1	0.7702
reactome_loss_of_mecp2_binding_ability_to_the_ncor_smrt_complex	0	0.0000
reactome_transcriptional_regulation_of_granulopoiesis	0	0.0000
pid_anthrax_pathway	0	0.0000
reactome_transferrin_endocytosis_and_recycling	0	0.0000
wp_myd88_distinct_inputoutput_pathway	0	0.0000
wp_atm_signaling_pathway	0	0.0000
reactome_interleukin_2_family_signaling	0	1.0744
reactome_resolution_of_sister_chromatid_cohesion	0	0.0000
reactome_uptake_and_function_of_diphtheria_toxin	0	0.0000
wp_mammalian_disorder_of_sexual_development	0	0.0000
biocarta_nthi_pathway	0	0.4452
reactome_tnfr1_induced_nfkappab_signaling_pathway	0	0.0000
reactome_aspirin_adme	0	0.0000
wp_classical_pathway_of_steroidogenesis_with_glucocorticoid_and_mineralocorticoid_metabolism	0	0.0000
reactome_lysosphingolipid_and_lpa_receptors	0	0.0000
wp_steroid_hormone_precursor_biosynthesis	0	0.0000
pid_il23_pathway	0	0.0000
reactome_er_quality_control_compartment_erqc	0	0.0000
reactome_ldl_remodeling	0	0.0000
reactome_class_c_3_metabotropic_glutamate_pheromone_receptors	0	0.0000
reactome_synthesis_of_5_eicosatetraenoic_acids	0	0.0000
wp_biomarkers_for_pyrimidine_metabolism_disorders	0	0.0000
reactome_depolymerisation_of_the_nuclear_lamina	0	0.0000
biocarta_tnfr2_pathway	0	0.4413
reactome_grb2_events_in_erbb2_signaling	0	3.8726
reactome_inlb_mediated_entry_of_listeria_monocytogenes_into_host_cell	0	0.0000
